name,subtype,effort_score,dosage_lowbound,dosage_upbound,dosage_units,frequency_min,frequency_max,repeat,prescription_or_administered
Aerobic Exercise,Exercise,60,150,150,Minutes,1,1,Weekly,FALSE
Strength Training,Exercise,60,,,,2,3,Weekly,FALSE
High-Intensity Interval Training (HIIT),Exercise,70,,,,2,3,Weekly,FALSE
Yoga,Exercise,50,,,,2,5,Weekly,FALSE
Tai Chi,Exercise,50,,,,2,5,Weekly,FALSE
Pilates,Exercise,50,,,,2,5,Weekly,FALSE
Walking,Exercise,30,,,,1,1,Daily,FALSE
Hiking,Exercise,50,,,,1,1,Daily,FALSE
Sprinting,Exercise,70,,,,1,2,Weekly,FALSE
Dance,Exercise,50,,,,2,5,Weekly,FALSE
Martial Arts,Exercise,60,,,,2,3,Weekly,FALSE
Functional Fitness,Exercise,50,,,,2,3,Weekly,FALSE
Mobility and Flexibility Exercises,Exercise,40,,,,1,1,Daily,FALSE
Balance Training,Exercise,40,,,,1,1,Daily,FALSE
Rebounding,Exercise,50,10,20,Minutes,1,1,Daily,FALSE
Active Commuting,Exercise,50,,,,,,,FALSE
Resveratrol,Supplement,30,250,500,mg,1,1,Daily,FALSE
Nicotinamide Mononucleotide (NMN),Supplement,40,250,500,mg,1,1,Daily,FALSE
Metformin,Supplement,50,500,2000,mg,1,1,Daily,TRUE
Omega-3 Fatty Acids (Fish Oil),Supplement,20,1000,3000,mg,1,1,Daily,FALSE
Vitamin D3,Supplement,10,1000,5000,IU,1,1,Daily,FALSE
Coenzyme Q10 (Ubiquinol),Supplement,30,100,200,mg,1,1,Daily,FALSE
Curcumin,Supplement,30,500,2000,mg,1,1,Daily,FALSE
Rapamycin,Supplement,80,,,,,,,TRUE
Nicotinamide Riboside (NR),Supplement,40,250,500,mg,1,1,Daily,FALSE
Low-dose Aspirin,Supplement,10,81,81,mg,1,1,Daily,FALSE
Quercetin,Supplement,30,500,1000,mg,1,1,Daily,FALSE
Melatonin,Supplement,10,0.5,5,mg,1,1,Daily,FALSE
Alpha-Lipoic Acid (ALA),Supplement,30,300,600,mg,1,1,Daily,FALSE
Fisetin,Supplement,30,100,100,mg,1,1,Daily,FALSE
Astaxanthin,Supplement,20,4,12,mg,1,1,Daily,FALSE
Berberine,Supplement,40,900,1500,mg,1,1,Daily,FALSE
Pterostilbene,Supplement,30,50,150,mg,1,1,Daily,FALSE
Vitamin K2,Supplement,10,100,200,mcg,1,1,Daily,FALSE
Magnesium,Supplement,10,200,400,mg,1,1,Daily,FALSE
Spermidine,Supplement,40,1,2,mg,1,1,Daily,FALSE
Acetyl-L-Carnitine,Supplement,30,500,2000,mg,1,1,Daily,FALSE
Probiotics,Supplement,20,,,,,,,FALSE
Green Tea Extract (EGCG),Supplement,20,250,500,mg,1,1,Daily,FALSE
Ashwagandha,Supplement,20,300,600,mg,1,1,Daily,FALSE
Rhodiola Rosea,Supplement,20,200,600,mg,1,1,Daily,FALSE
Selenium,Supplement,10,100,200,mcg,1,1,Daily,FALSE
Vitamin C,Supplement,10,500,2000,mg,1,1,Daily,FALSE
Zinc,Supplement,10,15,30,mg,1,1,Daily,FALSE
Chromium,Supplement,10,50,200,mcg,1,1,Daily,FALSE
Collagen Peptides,Supplement,20,5,10,g,1,1,Daily,FALSE
